month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2013-10-01,14127,2217,903,1314,0.15693353153535783,0.40730717185385656,0.105,0.34,0.0,7.2,0.09,0.8767991434911471,2.2804545454545457,0.0,0.046306720997607353,0.12376178826936825,15.407826050468113
2013-11-01,14720,2266,956,1310,0.15394021739130434,0.42188879082082964,0.099,0.34,0.0,6.9,0.08,1.2328701961954458,2.4147368421052633,0.0,0.029637565276886324,0.0883967488107247,12.923999977111816
2013-12-01,15012,2299,923,1376,0.1531441513455902,0.40147890387124835,0.0945,0.33,0.0,6.7,0.09,1.5128383667573297,2.5619047619047617,0.0,0.025926313567365522,0.09728071490225139,14.192380905151367
2014-01-01,15614,2477,991,1486,0.1586396823363648,0.40008074283407347,0.0885,0.33,0.0,6.6,0.07,1.557758795574915,2.4642857142857144,0.0,-0.03524836709801171,0.1260621361714896,14.240952400934129
2014-02-01,15205,2525,967,1558,0.16606379480434066,0.382970297029703,0.09,0.32,0.0,6.7,0.07,1.1204746347724948,2.382631578947368,0.0,0.045515833425496144,0.12433794078885461,15.470000116448654
2014-03-01,16194,2749,997,1752,0.16975422996171421,0.3626773372135322,0.111,0.34,0.0,6.7,0.08,1.6126949139408042,2.3242857142857143,0.0,0.008295763893567454,0.10075152220378376,14.836666742960611
2014-04-01,18172,3320,1183,2137,0.18269865727492846,0.35632530120481926,0.107,0.34,0.0,6.2,0.09,2.015125303606169,2.288095238095238,0.0,0.006951384711394004,0.13006050092122606,14.198095321655273
2014-05-01,18098,3321,1174,2147,0.18350093933031275,0.3535079795242397,0.111,0.34,0.0,6.3,0.09,2.166947687079812,2.17,0.0,0.02320648452672569,0.08054449893780255,12.475238028026762
2014-06-01,16186,3125,1068,2057,0.19306808352897567,0.34176,0.1025,0.33,0.0,6.1,0.1,2.0589816945944195,2.146190476190476,0.0,0.02064505395315952,0.056404594998694095,11.541428565979004
2014-07-01,27547,5174,1758,3416,0.18782444549315716,0.33977580208735986,0.1035,0.31,0.0,6.2,0.09,1.9742378703305974,2.0359090909090907,0.0,-0.01343764152581628,0.1032000635165967,12.296363613822244
2014-08-01,17731,3337,1109,2228,0.18820145507867578,0.33233443212466285,0.099,0.3,0.0,6.1,0.09,1.7150983482969062,1.9476190476190476,0.0,0.0394633631947956,0.07737259595638582,13.497142927987236
2014-09-01,9960,1879,644,1235,0.18865461847389559,0.3427354976051091,0.0965,0.29,0.0,5.9,0.09,1.6840509711232077,1.9676190476190476,0.0,-0.01379650665073262,0.09299274810389993,13.466666630336217
2014-10-01,36072,7103,2281,4822,0.1969117320913728,0.3211319160917922,0.103,0.3,0.0,5.7,0.09,1.6095417021513292,1.8586363636363636,0.0,0.023550946100216574,0.18052153946847105,18.01608711740245
2014-11-01,22957,4421,1451,2970,0.19257742736420264,0.3282062881700973,0.131,0.3,0.0,5.8,0.09,1.231524989320798,1.7983333333333331,0.0,0.027472237215337536,0.04283487078382064,13.41315786462081
2014-12-01,9367,1731,627,1104,0.18479769403224083,0.36221837088388215,0.113,0.3,0.0,5.6,0.12,0.6531213919623191,1.5718181818181818,0.0,-0.0025364706513525404,0.15436638572867975,16.3118182962591
2015-01-01,32216,6458,2201,4257,0.2004593990563695,0.3408175905853205,0.0985,0.29,0.0,5.7,0.11,-0.22993097820542818,1.33,0.0,-0.02962945897472935,0.16839098912220557,19.119499969482423
2015-02-01,21656,4198,1382,2816,0.19384927964536386,0.32920438303954264,0.1115,0.27,0.0,5.5,0.11,-0.08703146293520536,1.3563157894736841,0.0,0.05620458212553059,0.0939909043330885,15.904210492184287
2015-03-01,22931,4779,1546,3233,0.20840783219222886,0.3234986398828207,0.095,0.26,0.0,5.4,0.11,-0.022031284423873476,1.4022727272727273,0.0,-0.01570572052745889,0.14135638614907253,14.812727277929133
